Week,Influent,Effluent
4,0.5,0.05
5,0.4,0.1
6,0.6,0.1
7,0.4,0.1
8,0.6,0.1
9,0.6,0.2
10,0.8,0.3
11,0.5,0.1
12,0.6,0.1
13,0.4,0.1
14,0.2,0.1
15,0.3,0.1
16,0.1,0.02
17,0.1,0.03
18,0.2,0.02
19,0.4,0.08
20,0.5,0.04
21,0.5,0.05
22,0.8,0.1
23,0.6,0.1
24,0.6,0.1
25,0.6,0.2
26,0.4,0.1
27,0.6,0.1
28,0.60,0.08
29,0.50,0.08
30,0.80,0.15
