Week,Influent,Effluent
1,593,88
2,267,48
3,366,74
4,550,73
5,263,43
6,239,37
7,279,38
8,178,50
9,207,76
10,1085,31
11,397,61
12,971,41
13,169,42
14,546,36
15,705,29
16,178,36
17,1054,35
18,262,42
19,1647,46
20,429,37
21,171,50
22,681.0,35.0
23,854.0,38.0
24,660.0,40.0
25,252.0,23.0
26,412.0,27.0
27,608.0,37.0
28,258.0,37.0
29,172.0,32.0
30,1021.0,49.0
