Week,Influent,effluent
1,0.49,0.2
2,0.5,0.1
3,0.35,0.15
4,0.49,0.16
5,0.29,0.09
6,0.33,0.08
7,0.46,0.16
8,0.18,0.36
9,0.41,0.11
10,0.31,0.35
11,0.45,0.15
12,0.34,0.12
13,0.44,0.14
14,0.56,0.31
15,0.32,0.21
16,0.35,0.14
17,0.31,0.14
18,0.34,0.14
19,0.28,0.13
20,0.5,0.22
21,0.28,0.1
22,0.44,0.17
23,0.43,0.13
24,0.38,0.18
25,0.35,0.17
26,0.47,0.19
27,0.55,0.22
28,0.31,0.32
29,0.33,0.19
30,0.34,0.18
