Week,Influent,Effluent
16,0.2,0.1
17,0.2,0.1
18,0.3,0.1
19,0.2,0.1
20,0.5,0.1
21,0.4,0.2
22,0.3,0.1
23,0.4,0.1
24,0.4,0.1
25,0.5,0.1
26,0.6,0.1
27,0.6,0.1
28,0.50,0.09
29,0.30,0.10
30,0.70,0.20
