Week,Influent,Effluent
1,13.7,0.6
2,12.5,0.2
3,11.8,0.6
4,13.8,0.8
5,11.5,0.4
6,21.9,0.4
7,23.6,0.3
8,19.5,0.0
9,17.5,0.3
10,9.5,0.2
11,17.2,0.6
12,13.6,0.2
13,8.4,0.3
14,26.8,0.9
15,18.4,0.6
16,12.5,0.2
17,12.5,0.3
18,9.4,0.3
19,24.6,0.9
20,8.9,0.4
21,7.5,0.2
22,14.3,0.6
23,23.4,0.9
24,17.4,0.8
25,13.6,0.3
26,11.8,0.2
27,13.6,0.4
28,21.50,1.10
29,12.30,0.20
30,26.40,1.10
