Week,Influent,Effluent
1,7.2,7.5
2,7.4,7.6
3,7.6,7.1
4,7.1,7.5
5,7.2,7.1
6,7.5,7.7
7,7.2,7.1
8,7.4,7.5
9,7.4,7.2
10,7.2,7.1
11,7.3,7.4
12,7.1,7.5
13,7.5,7.6
14,6.9,7.0
15,6.8,7.2
16,6.8,7.1
17,7.2,7.1
18,6.9,6.8
19,7.3,7.2
20,7.5,7.1
21,7.2,7.0
22,7.4,7.5
23,7.4,7.1
24,7.0,6.9
25,7.4,7.3
26,7.5,7.4
27,7.4,7.5
28,7.3,7.6
29,6.7,6.9
30,7.3,7.0
