Week,Influent,Effluent
1,27.9,28.5
2,27.6,28.2
3,27.0,28.4
4,26.9,26.7
5,27.1,27.2
6,27.5,28.1
7,28.7,29.1
8,28.1,28.6
9,28.2,28.6
10,26.9,27.5
11,28.2,28.7
12,31.4,31.8
13,28.7,29.1
14,27.6,27.9
15,26.9,27.1
16,25.8,25.7
17,27.4,27.5
18,27.2,27.3
19,27.2,27.5
20,26.2,25.9
21,28.9,29.2
22,26.8,27.2
23,27.2,27.2
24,26.9,27.2
25,28.0,27.8
26,26.5,26.7
27,27.6,28.1
28,27.7,28.5
29,26.9,27.4
30,27.5,27.4
