Week,Influent,Effluent
1,432,8
2,218,9
3,208,8
4,338,11
5,108,11
6,224,4
7,142,6
8,78,14
9,114,28
10,628,7
11,258,11
12,886,6
13,86,5
14,256,11
15,568,9
16,107,11
17,912,8
18,215,8
19,1438,11
20,322,4
21,74,6
22,436.0,8.0
23,676.0,9.0
24,410.0,4.0
25,182.0,6.0
26,254.0,9.0
27,368.0,7.0
28,166,6.0
29,96,6.0
30,536,9.0
